Fighter,Wrestling,Submissions,Boxing,Kickboxing,Defense,Cardio,Power,Chin,Fight IQ,Speed
Court McGee,2.5,3.0,2.8,2.9,2.5,2.8,3.0,3.4,2.8,3.5
Cris Cyborg,4.0,3.6,4.4,4.9,4.6,4.5,5.0,4.8,4.6,4.4
Cub Swanson,2.8,2.8,2.8,2.7,2.9,2.7,3.1,2.8,3.2,2.7
Curtis Blaydes,4.9,2.0,3.6,3.5,4.4,4.6,4.4,4.4,4.2,3.7
Cynthia Calvillo,3.2,2.8,2.8,3.0,3.0,3.1,3.6,3.0,3.1,3.3
Damir Hadzovic,3.1,2.5,3.1,3.0,2.8,2.8,3.7,3.0,2.6,2.8
Dan Henderson,4.1,2.4,3.9,3.8,4.6,4.4,4.7,5.0,4.4,3.5
Dan Hooker,3.1,2.7,2.9,3.1,3.2,2.9,3.3,2.8,3.0,3.7
Dan Severn,2.7,2.7,2.9,2.6,2.7,2.8,3.7,3.6,2.9,2.9
Daniel Cormier,5.0,4.0,3.8,3.8,4.6,4.7,4.3,4.7,4.8,4.0
Darren Elkins,2.8,2.6,3.4,3.1,2.9,3.1,2.4,3.1,3.6,3.0
Darren Till,3.3,3.0,3.1,3.0,3.0,3.3,2.8,2.6,3.2,3.2
Deiveson Figueiredo,4.8,4.5,4.0,3.8,4.5,4.5,4.5,4.7,4.4,4.5
Demetrious Johnson,4.8,4.7,4.4,4.6,4.9,5.0,3.4,4.7,5.0,5.0
Demian Maia,3.9,5.0,3.1,2.9,4.0,4.6,3.1,4.3,4.8,3.5
Derek Brunson,2.5,2.8,2.7,2.9,3.0,2.5,2.5,3.2,2.9,2.3
Derrick Lewis,2.0,1.7,3.8,4.1,4.0,3.0,5.0,5.0,3.4,3.5
Diego Brandao,3.0,3.2,2.9,3.1,2.6,2.9,3.1,3.5,3.1,3.4
Diego Ferreira,2.9,2.5,3.1,2.9,2.9,3.2,2.7,2.8,3.0,3.3
Diego Sanchez,3.2,3.2,2.9,3.1,2.9,3.1,3.4,3.2,2.5,3.1
Dominick Cruz,4.3,2.8,4.0,4.3,5.0,4.8,3.1,4.6,4.9,5.0
Dominick Reyes,2.6,2.5,3.0,2.9,3.4,3.3,3.1,3.1,3.1,2.8
Donald Cerrone,2.6,2.7,3.0,3.0,3.2,3.1,3.2,2.9,3.3,3.5
Douglas Lima,3.3,2.0,2.9,3.0,2.5,3.0,3.3,2.8,3.1,2.7
Drew Dober,3.1,2.6,2.6,2.4,2.7,2.9,2.9,3.6,3.3,2.7
Dricus du Plessis,3.5,3.5,2.9,2.5,2.9,2.9,2.9,2.8,3.2,3.1
Dustin Jacoby,3.0,3.0,3.2,3.2,2.8,3.1,2.8,2.9,2.7,2.7
Dustin Poirier,2.9,2.8,4.9,4.3,4.6,4.8,4.5,5.0,4.6,4.2
Eddie Alvarez,3.0,3.2,3.2,3.2,3.2,3.7,2.9,2.5,3.4,2.9
Eddie Wineland,2.7,3.2,3.1,2.8,3.0,3.0,3.2,2.7,2.8,3.1
Edson Barboza,2.8,2.4,4.1,4.9,4.2,4.0,4.6,4.6,4.1,4.7
Erick Silva,3.2,3.3,3.0,3.7,2.9,2.8,2.7,3.8,3.2,2.9
Erin Blanchfield,4.8,4.7,3.7,3.5,4.7,4.7,3.4,4.6,4.6,4.4
Evan Dunham,3.0,2.5,3.0,3.0,3.3,3.3,2.9,3.0,3.2,2.8
Fabricio Werdum,2.8,2.8,3.2,3.1,2.8,3.3,3.4,3.2,3.3,3.3
Fedor Emelianenko,4.7,4.6,4.3,4.2,4.6,4.6,4.8,4.8,4.8,4.4
Felice Herrig,2.9,2.5,3.4,3.2,3.2,3.3,3.8,2.6,2.8,2.8
Forrest Griffin,2.6,2.7,3.1,3.0,2.8,2.8,2.8,2.9,3.6,3.1
Francis Ngannou,3.2,2.4,4.0,4.2,5.0,3.6,5.0,4.8,3.8,4.0
Francisco Trinaldo,3.3,2.9,3.7,3.0,2.9,3.0,3.1,3.2,3.6,2.8
Frank Mir,2.9,3.1,3.1,2.8,2.8,2.5,3.1,3.0,2.3,2.8
Frank Shamrock,2.6,3.0,2.8,3.2,3.0,2.6,2.9,3.2,3.2,3.0
Frankie Edgar,4.7,3.0,4.3,4.1,4.6,5.0,3.6,4.8,4.8,4.8
Gegard Mousasi,2.6,3.0,3.1,2.6,3.0,3.1,3.2,3.1,3.1,3.4
Geoff Neal,3.5,2.6,3.1,3.0,3.0,3.0,3.0,3.3,3.4,3.0
Georges St-Pierre,5.0,4.2,4.5,4.3,4.9,4.9,4.0,4.8,4.9,4.6
Gerard Mousasi,2.5,2.6,2.7,2.5,3.0,2.4,2.6,2.9,2.8,3.1
Germaine de Randamie,3.2,2.5,3.4,3.3,3.1,3.0,2.9,3.3,2.9,3.1
Giga Chikadze,3.0,2.7,3.1,3.0,2.6,2.6,3.0,3.4,2.4,3.1
Gilbert Burns,4.2,4.8,4.0,4.1,4.4,4.5,4.3,4.4,4.5,4.3
Gillian Robertson,3.4,2.7,3.2,2.9,3.0,3.2,2.9,3.4,2.7,3.1
Glenn Danzig,2.7,2.7,2.8,3.4,3.0,3.4,3.0,3.1,3.0,3.0
Glenn Robinson,2.7,3.1,3.3,2.7,3.1,3.0,3.2,3.2,3.3,3.0
Glover Teixeira,2.8,2.5,2.7,3.0,3.1,2.8,3.0,3.3,3.2,3.4
Grant Dawson,2.9,3.6,2.9,3.1,2.9,3.1,3.2,3.1,3.5,3.1
Gray Maynard,2.7,2.3,3.4,2.8,3.0,2.8,3.1,2.8,2.9,3.1
Gregor Gillespie,3.3,2.6,2.8,3.1,3.3,3.0,2.6,2.7,2.6,2.5
Gunnar Nelson,2.9,3.4,2.6,3.4,3.4,2.8,3.6,3.4,3.3,3.0
Henry Cejudo,5.0,4.0,4.0,3.8,4.8,4.7,3.5,4.7,4.8,4.7
Holly Holm,2.5,2.2,4.0,4.8,4.8,4.5,3.7,4.5,4.7,4.7
Ian Machado Garry,3.1,2.6,3.4,2.8,2.8,3.2,3.2,3.2,2.5,3.2
Ilia Topuria,4.3,4.5,4.9,4.6,4.8,4.2,5.0,4.7,4.8,4.7
Ilir Latifi,2.9,3.1,3.2,2.7,2.8,3.0,3.5,2.6,3.1,2.6
Irene Aldana,3.1,2.5,2.6,3.4,2.7,2.7,3.0,3.1,2.7,2.9
Islam Makhachev,4.9,4.7,4.0,4.0,4.8,4.5,3.8,4.6,4.9,4.5
Israel Adesanya,2.8,2.7,4.4,5.0,4.9,4.6,4.7,4.5,4.9,4.9
Jacare Souza,3.8,5.0,3.8,3.5,4.4,4.3,4.0,4.5,4.5,3.7
Jack Della Maddalena,2.7,2.9,2.6,3.1,2.8,2.6,3.2,3.2,2.8,3.4
Jack Hermansson,2.9,3.3,3.0,2.4,3.1,3.5,3.4,3.6,2.7,3.3
Jairzinho Rozenstruik,2.0,1.8,3.6,4.5,4.4,3.2,4.8,4.3,3.7,4.0
Jake Ellenberger,3.3,2.9,2.9,3.1,2.9,3.0,3.3,2.9,3.2,3.2
Jake Shields,3.0,2.6,2.9,3.2,3.0,3.1,3.2,3.0,3.2,3.1
Jalin Turner,3.3,2.9,2.9,3.1,2.9,3.3,2.5,3.0,2.4,2.6
Jamahal Hill,3.4,3.2,2.9,3.1,2.8,3.0,2.8,3.6,3.1,2.9
Jan Blachowicz,3.3,3.2,2.8,3.1,2.8,2.8,3.2,3.1,3.5,2.9
Jared Cannonier,2.8,2.2,4.1,4.3,4.8,4.2,4.8,4.7,4.3,4.1
Jared Gordon,3.1,3.1,3.5,3.2,3.1,3.2,2.8,3.1,2.8,2.7
Jeremy Stephens,3.1,3.0,3.0,3.1,3.2,2.8,3.2,2.7,3.1,3.1
Jessica Andrade,4.7,3.0,4.0,4.0,4.4,4.3,5.0,4.7,4.2,4.3
Jessica Eye,3.0,2.7,3.8,3.1,2.8,2.8,2.7,3.4,2.9,3.0
Jim Miller,3.1,3.2,3.0,3.2,3.0,3.0,2.8,3.2,2.8,3.2
Jiri Prochazka,3.4,2.5,3.5,2.9,3.3,3.0,2.9,2.6,3.0,2.6
Joanna Jedrzejczyk,2.5,2.3,4.6,5.0,4.8,5.0,3.7,4.8,4.9,4.8
Joaquin Buckley,3.1,2.9,2.9,3.2,3.0,2.9,2.9,3.7,2.5,3.1
Joe Lauzon,3.2,2.8,2.7,2.7,3.4,3.0,3.5,3.0,3.1,3.7
John Dodson,3.3,2.4,2.8,3.5,3.3,3.0,2.7,3.0,3.0,3.0
John Lineker,2.8,2.6,2.8,2.8,3.3,3.2,3.5,3.7,2.7,3.0
Johnny Walker,2.7,3.0,2.8,3.1,3.2,3.5,2.9,3.2,2.6,3.3
Johny Hendricks,2.5,2.9,3.1,2.7,2.8,3.4,2.9,3.7,3.0,3.1
Jon Fitch,2.7,3.2,2.9,2.5,2.7,2.7,3.0,3.0,2.9,3.2
Jon Jones,4.9,4.7,4.6,4.8,4.9,4.7,4.6,4.7,5.0,4.4
Jorge Masvidal,2.5,2.6,3.1,2.9,2.9,3.0,3.1,2.8,3.2,3.2
Jose Aldo,4.6,3.9,4.7,4.9,4.8,4.5,4.8,4.9,4.8,4.8
Joseph Benavidez,4.5,4.5,4.0,4.0,4.7,4.9,3.2,4.7,4.8,4.9
Josh Barnett,2.7,3.1,3.2,3.0,2.8,2.8,2.8,3.3,2.7,3.1
Josh Emmett,2.6,2.6,2.8,2.9,2.6,2.8,2.8,3.3,3.2,3.0
Josh Koscheck,3.1,2.9,3.1,3.2,2.4,2.9,2.4,3.1,3.0,3.3
Julianna Pena,3.2,3.2,2.9,3.0,2.4,3.1,2.7,3.2,2.6,3.2
Junior dos Santos,2.8,2.2,4.3,4.6,4.4,4.3,4.8,4.8,4.4,4.3
Jussier Formiga,4.6,4.7,3.3,3.0,4.7,4.8,3.0,4.5,4.7,4.6
Justin Gaethje,4.3,2.5,4.7,4.8,4.9,4.8,4.9,5.0,4.2,4.4
Kai Kara-France,3.0,2.4,3.0,3.1,2.9,2.5,3.3,3.2,2.8,2.9
Kamaru Usman,4.9,2.9,4.0,3.7,4.7,4.8,4.6,4.8,4.7,4.2
Karolina Kowalkiewicz,3.1,3.0,3.1,3.3,3.0,3.1,3.1,3.1,2.9,3.6
Kayla Harrison,5.0,4.8,3.5,3.3,4.7,4.7,4.4,4.7,4.8,4.3
Kazushi Sakuraba,3.4,3.1,2.9,3.2,3.5,3.5,2.7,2.8,3.4,2.7
Keith Jardine,3.0,3.2,3.1,3.2,2.7,3.1,3.2,2.9,3.2,3.2
Kelvin Gastelum,3.0,3.0,2.7,3.0,2.9,2.7,2.6,3.3,2.9,2.7
Ken Shamrock,2.7,2.3,3.0,2.7,3.0,2.6,2.8,3.1,3.1,3.1
Ketlen Vieira,3.2,3.1,3.4,3.5,2.8,3.0,3.0,3.1,2.8,2.6
Kevin Holland,2.8,3.3,3.1,3.2,3.0,2.8,3.0,3.5,3.2,2.5
Kevin Lee,2.9,2.9,3.0,2.9,3.4,3.0,3.6,3.1,3.5,3.1
Kevin Randleman,3.1,2.8,2.8,2.9,2.9,2.9,3.5,3.1,2.9,2.4
Khabib Nurmagomedov,5.0,4.6,3.5,3.5,4.8,4.9,4.2,4.8,4.9,4.3
Khalil Rountree Jr.,2.8,2.3,2.9,3.2,2.8,2.8,2.5,3.6,3.2,3.2
Khamzat Chimaev,2.8,2.9,3.0,2.8,2.8,2.7,3.3,3.1,2.8,3.2
Kyoji Horiguchi,4.7,4.0,4.2,4.5,4.8,4.8,3.7,4.7,4.8,4.9
Lauren Murphy,3.2,2.5,3.3,3.8,3.1,3.2,2.9,2.6,2.8,2.7
Leon Edwards,3.9,3.4,4.4,4.7,4.8,4.6,4.0,4.5,4.8,4.5
Liz Carmouche,3.1,2.3,2.8,3.2,2.9,2.9,3.4,2.8,2.8,3.1
Luke Rockhold,3.2,3.0,3.4,2.9,2.9,2.9,3.2,3.5,2.9,2.9
Lyoto Machida,3.7,2.5,4.0,4.9,4.9,4.5,3.7,4.5,4.8,4.8
Mackenzie Dern,3.2,5.0,3.4,3.0,3.8,3.9,3.1,4.1,4.1,3.9
Magomed Ankalaev,3.3,2.8,3.2,2.9,3.0,3.0,2.8,3.3,3.2,3.2
Manel Kape,2.9,2.4,2.6,2.9,2.7,3.1,2.9,3.8,2.5,3.1
Manon Fiorot,3.7,2.5,4.2,4.8,4.7,4.6,4.1,4.6,4.6,4.7
Mansur Abdul-Malik,2.6,2.4,3.0,2.7,2.8,2.8,2.9,3.5,3.2,3.0
Manuela Juarez,2.6,2.8,2.7,2.4,2.9,2.5,2.8,2.8,2.8,3.6
Marcin Tybura,2.7,2.4,3.1,3.0,2.9,3.0,3.8,3.3,3.3,3.2
Marina Rodriguez,2.9,2.6,3.1,3.1,2.6,3.3,3.0,2.8,3.3,3.2
Marion Reneau,3.3,2.6,2.6,3.3,3.1,2.8,2.6,2.9,3.0,3.3
Mark Coleman,3.4,2.7,2.7,2.9,3.0,3.0,3.3,3.0,3.1,2.7
Mark Hunt,2.0,1.8,4.0,4.5,4.4,3.2,5.0,5.0,3.5,3.4
Marlon Moraes,3.4,3.0,2.8,2.7,3.0,2.7,2.8,3.2,3.3,3.2
Marlon Vera,3.3,2.8,3.2,2.8,3.0,2.5,2.3,3.4,2.7,2.9
Marvin Vettori,3.0,3.1,2.4,2.6,2.7,3.4,3.1,3.3,2.7,2.7
Mateusz Gamrot,4.8,3.5,3.7,3.6,4.6,4.8,3.7,4.7,4.5,4.6
Matt Brown,3.2,3.2,3.5,3.4,3.0,3.1,3.2,3.1,3.0,3.2
Matt Frevola,3.2,2.6,3.0,2.8,2.9,2.7,3.4,3.4,3.2,3.6
Matt Hughes,5.0,3.5,3.5,3.2,4.6,4.4,4.3,4.7,4.8,3.5
Matt Serra,2.9,2.6,3.0,2.8,3.0,3.5,3.0,3.2,2.9,3.0
Mauricio Rua,2.7,2.4,3.0,3.0,2.8,3.2,2.6,3.0,2.8,3.0
Max Holloway,3.3,3.2,4.9,4.5,4.7,5.0,4.3,5.0,4.7,4.6
Maycee Barber,3.3,3.0,3.5,2.8,2.6,2.7,3.2,3.2,3.0,2.7
Merab Dvalishvili,5.0,2.6,3.3,3.3,4.7,5.0,3.4,4.8,4.7,4.5
Michael Bisping,3.0,2.6,4.1,4.4,4.4,4.9,3.4,4.7,4.7,4.3
Michael Chandler,4.7,2.8,4.2,4.1,4.7,4.2,5.0,4.8,4.1,4.7
Michael Chiesa,3.2,2.9,3.3,3.1,3.3,3.3,3.4,3.2,3.3,2.9
Michael Johnson,3.4,3.1,2.8,2.6,2.2,2.8,3.7,3.2,2.8,3.1
Michael McDonald,3.4,2.8,2.8,2.9,3.1,2.9,3.1,3.2,3.2,3.4
Michael Page,2.0,2.1,3.7,4.8,4.9,3.7,3.6,4.0,4.5,5.0
Michel Pereira,2.5,2.8,2.9,2.4,3.1,2.9,2.4,3.3,3.4,3.4
Michelle Waterson,2.9,2.7,3.0,3.5,2.6,3.2,2.5,3.2,3.4,3.1
Miesha Tate,4.6,4.4,3.4,3.2,4.5,4.5,3.5,4.6,4.5,4.1
Miguel Torres,2.7,2.6,2.8,2.7,2.7,3.0,2.7,3.3,2.7,3.8
Mike Perry,2.8,3.4,3.1,3.2,2.5,2.8,3.3,3.2,2.5,3.3
Mirko Cro Cop,2.6,2.2,3.8,5.0,4.5,4.0,4.8,4.4,4.5,4.4
Misha Cirkunov,3.4,2.8,2.8,2.9,3.3,3.2,3.2,3.0,3.2,2.8
Nassourdine Imavov,2.8,2.9,2.6,2.8,2.8,3.3,3.2,3.2,2.6,2.9
Nate Diaz,2.7,2.6,3.4,2.9,3.4,2.9,3.4,3.1,3.1,3.4
Neil Magny,2.9,2.7,3.1,3.4,3.1,2.7,3.2,3.4,3.2,3.2
Nick Diaz,2.9,2.5,2.9,3.1,2.6,3.2,2.8,3.4,2.3,2.8
Nicolas Dalby,3.6,3.0,3.4,3.1,3.0,3.1,2.8,2.8,3.4,3.4
Nikita Krylov,3.3,3.0,2.9,3.0,2.9,3.7,3.2,3.0,3.1,2.7
Nogueira Antonio Rogerio,2.7,2.4,3.5,2.9,3.0,2.9,2.7,3.0,3.7,3.4
Norma Dumont,2.8,2.8,3.0,3.2,3.3,2.9,2.9,3.2,3.2,2.9
Ovince Saint Preux,2.8,2.9,3.1,2.9,2.7,3.6,3.1,2.9,3.3,3.0
Paige VanZant,3.0,3.0,2.8,2.7,3.1,3.2,3.1,2.9,3.2,2.8
Patricio Pitbull,3.7,2.7,2.9,3.0,3.3,2.8,2.8,3.4,3.1,2.4
Paul Craig,3.4,2.6,3.1,3.3,3.1,3.0,3.0,3.1,2.8,2.9
Paul Daley,2.2,2.1,4.0,4.8,4.1,3.3,4.8,4.1,3.5,4.3
Paulo Costa,3.5,2.8,3.5,2.7,3.2,3.1,2.8,3.1,3.3,2.9
Paulo Filho,3.1,2.8,3.2,2.9,3.1,3.0,3.2,3.3,2.5,2.4
Petr Yan,4.2,3.0,4.7,4.6,4.9,4.8,4.2,4.8,4.9,4.7
Phil Davis,3.0,3.0,3.0,2.7,3.0,3.0,3.0,3.1,3.3,2.7
Polyana Viana,3.6,2.9,2.5,2.7,2.5,3.0,3.0,3.0,3.6,3.2
Quinton Jackson,3.1,3.2,2.7,2.9,2.8,2.7,2.9,3.5,3.5,2.9
Rafael Fiziev,3.3,2.6,3.3,2.8,3.5,2.7,3.4,2.9,3.6,3.2
Rafael dos Anjos,4.1,3.2,4.5,4.2,4.5,4.8,4.0,4.7,4.7,4.2
Rampage Jackson,2.9,2.7,3.3,3.0,3.1,3.0,3.1,3.2,2.5,3.2
Randy Brown,2.6,2.8,3.1,2.8,3.0,2.6,3.4,2.9,3.6,3.0
Randy Couture,4.9,2.5,3.8,3.2,4.7,4.4,4.0,4.8,4.9,3.2
Raphael Assuncao,3.3,2.5,2.7,3.0,2.9,2.7,2.9,3.0,2.8,2.9
Raquel Pennington,3.2,2.6,2.8,2.7,2.7,2.5,3.2,3.6,3.4,2.5
Rashad Evans,3.5,2.8,3.5,3.0,3.0,3.1,3.9,3.3,2.8,3.3
Renan Barao,2.4,2.9,3.0,3.1,3.5,2.4,2.8,3.3,2.6,3.4
Renato Moicano,2.7,2.7,3.2,3.3,3.0,3.0,3.2,3.1,2.6,2.8
Rich Franklin,2.9,3.2,2.7,2.4,2.5,3.0,3.0,3.1,3.3,2.3
Rob Font,3.0,3.1,3.4,2.6,2.9,3.4,3.1,3.2,2.9,2.9
Robbie Lawler,3.5,2.8,2.7,3.0,3.0,2.6,2.9,2.9,3.3,3.0
Robert Whittaker,4.3,3.0,4.6,4.8,4.8,4.8,4.4,4.8,4.7,4.9
Roman Dolidze,3.0,3.0,2.7,3.2,3.2,3.7,2.9,3.0,3.2,3.2
Ronaldo Jacare Souza,3.0,3.2,3.4,3.1,2.8,3.4,3.0,3.1,2.9,2.8
Ronaldo Souza,3.0,2.8,3.5,3.3,3.0,3.1,3.0,3.0,2.7,3.0
Ronda Rousey,4.6,5.0,3.2,2.7,3.9,3.6,3.6,4.1,4.2,4.2
Rory MacDonald,3.1,3.0,3.1,3.3,3.1,2.9,3.1,2.3,3.1,2.0
Rose Namajunas,3.9,4.6,4.4,4.6,4.8,4.5,3.7,4.6,4.9,4.8
Roy Nelson,2.9,3.0,2.6,2.9,3.2,2.8,2.5,3.3,3.3,3.0
Royce Gracie,3.1,3.1,3.1,2.8,3.2,3.0,3.0,3.5,2.3,2.6
Rumble Johnson,2.9,3.1,2.5,3.2,2.9,3.1,2.7,3.5,3.3,3.3
Ryan Bader,3.2,2.5,3.2,3.3,3.1,3.0,3.1,2.3,3.1,3.0
Ryan Spann,2.8,2.7,2.9,2.9,3.0,2.9,2.6,3.3,3.2,3.2
Sara McMann,2.9,2.4,2.4,2.9,3.0,2.6,3.0,3.1,2.4,2.7
Sarah Kaufman,3.1,2.9,3.3,3.1,3.1,2.9,3.0,3.1,3.1,3.2
Sean Brady,2.9,2.7,3.1,3.2,2.7,3.0,2.4,3.2,3.2,2.9
Sean O'Malley,2.3,2.5,4.3,4.7,4.6,4.3,4.0,4.2,4.5,5.0
Sean Strickland,2.6,2.0,4.8,4.5,4.9,4.9,3.8,4.8,4.8,4.5
Sergei Pavlovich,2.3,1.8,3.7,4.2,4.8,3.6,5.0,4.4,3.7,4.0
Sergei Spivac,2.6,3.1,2.7,3.0,2.9,2.7,2.7,3.2,3.3,3.0
Sergio Pettis,3.3,3.0,3.6,2.6,2.9,2.9,2.4,3.4,2.9,3.2
Shamil Gamzatov,2.9,2.7,3.2,2.8,2.9,3.0,3.3,2.9,2.5,2.5
Shane Carwin,3.3,2.8,3.3,3.1,3.1,3.1,3.2,3.7,3.3,2.6
Shavkat Rakhmonov,2.3,2.5,2.9,2.7,3.2,3.6,2.7,2.9,3.1,3.5
Shogun Rua,2.8,3.0,2.8,2.5,3.3,3.3,3.3,3.0,3.0,3.2
Stefan Struve,2.5,2.7,3.4,2.9,3.0,3.3,3.6,2.9,3.0,3.5
Stephan Bonnar,3.2,2.7,2.9,2.8,2.3,2.6,2.5,2.5,2.7,3.4
